



pressure	resolution	h2o	co2	ch4	o2	X^2
1013	50000	25	368.5	1.8	212000	1.55867e-08
1013	50000	25	368.5	1.8	212000	1.55867e-08
1013	50000	25	368.5	1.8	212000	1.55867e-08
1012.48231098	50000	25	368.5	1.8	212000	1.55831e-08
1013	51647.9106086	25	368.5	1.8	212000	1.55957e-08
1013	50000	44.9272870727	368.5	1.8	212000	1.94625e-08
1013	50000	25	371.865218056	1.8	212000	1.55867e-08
1013	50000	25	368.5	1.96169002824	212000	1.55867e-08
1013	50000	25	368.5	1.8	300649.106596	1.55867e-08
1008.02440431	26989.0091066	18.3801365761	385.546320233	1.8	212000	1.42304e-08
1013.10539968	26989.0091066	18.3801365761	385.546320233	1.8	212000	1.4236e-08
1008.02440431	25098.4453466	18.3801365761	385.546320233	1.8	212000	1.42364e-08
1008.02440431	26989.0091066	37.8711780516	385.546320233	1.8	212000	1.81142e-08
1008.02440431	26989.0091066	18.3801365761	367.487644796	1.8	212000	1.42304e-08
1008.02440431	26989.0091066	18.3801365761	385.546320233	1.96169002824	212000	1.42304e-08
1008.02440431	26989.0091066	18.3801365761	385.546320233	1.8	300649.106596	1.42304e-08
1015.4855632	32629.8892337	14.8918625977	385.546320233	1.8	212000	1.36204e-08
1008.2514894	32629.8892337	14.8918625977	385.546320233	1.8	212000	1.36166e-08
1015.4855632	25488.1866541	14.8918625977	385.546320233	1.8	212000	1.36047e-08
1015.4855632	32629.8892337	33.3980337839	385.546320233	1.8	212000	1.72705e-08
1015.4855632	32629.8892337	14.8918625977	367.487644796	1.8	212000	1.36205e-08
1015.4855632	32629.8892337	14.8918625977	385.546320233	1.96169002824	212000	1.36204e-08
1015.4855632	32629.8892337	14.8918625977	385.546320233	1.8	300649.106596	1.36204e-08
1014.75813014	25867.9989495	13.5509101575	372.569433709	1.8	212000	1.33511e-08
1017.42144887	25867.9989495	13.5509101575	372.569433709	1.8	212000	1.33586e-08
1014.75813014	25420.3404721	13.5509101575	372.569433709	1.8	212000	1.33493e-08
1014.75813014	25867.9989495	31.3863692656	372.569433709	1.8	212000	1.68714e-08
1014.75813014	25867.9989495	13.5509101575	396.697179917	1.8	212000	1.33511e-08
1014.75813014	25867.9989495	13.5509101575	372.569433709	1.96169002824	212000	1.33511e-08
1014.75813014	25867.9989495	13.5509101575	372.569433709	1.8	300649.106596	1.33511e-08
1016.22610429	31421.5723614	12.352805495	372.569433709	1.8	212000	1.31156e-08
1017.2011061	31421.5723614	12.352805495	372.569433709	1.8	212000	1.31169e-08
1016.22610429	33525.2936648	12.352805495	372.569433709	1.8	212000	1.31078e-08
1016.22610429	31421.5723614	29.3275214816	372.569433709	1.8	212000	1.64478e-08
1016.22610429	31421.5723614	12.352805495	396.697179917	1.8	212000	1.31156e-08
1016.22610429	31421.5723614	12.352805495	372.569433709	1.96169002824	212000	1.31156e-08
1016.22610429	31421.5723614	12.352805495	372.569433709	1.8	300649.106596	1.31156e-08
1013.69890197	43801.8550458	11.1928559211	372.569433709	1.8	212000	1.28671e-08
1015.7638188	43801.8550458	11.1928559211	372.569433709	1.8	212000	1.28664e-08
1013.69890197	45338.9892198	11.1928559211	372.569433709	1.8	212000	1.2866e-08
1013.69890197	43801.8550458	26.8731376941	372.569433709	1.8	212000	1.60026e-08
1013.69890197	43801.8550458	11.1928559211	396.697179917	1.8	212000	1.28671e-08
1013.69890197	43801.8550458	11.1928559211	372.569433709	1.96169002824	212000	1.28671e-08
1013.69890197	43801.8550458	11.1928559211	372.569433709	1.8	300649.106596	1.28671e-08
1010.09241404	49700.8812137	10.6292293176	362.301157072	1.8	212000	1.27393e-08
1017.97416675	49700.8812137	10.6292293176	362.301157072	1.8	212000	1.27466e-08
1010.09241404	51463.7992167	10.6292293176	362.301157072	1.8	212000	1.27433e-08
1010.09241404	49700.8812137	25.3011206096	362.301157072	1.8	212000	1.56407e-08
1010.09241404	49700.8812137	10.6292293176	363.72579369	1.8	212000	1.27393e-08
1010.09241404	49700.8812137	10.6292293176	362.301157072	1.96169002824	212000	1.27393e-08
1010.09241404	49700.8812137	10.6292293176	362.301157072	1.8	300649.106596	1.27393e-08
1014.29392954	33232.1998669	10.2632874981	362.301157072	1.8	212000	1.22073e-08
1016.22780649	33232.1998669	10.2632874981	362.301157072	1.8	212000	1.22114e-08
1014.29392954	34845.8790233	10.2632874981	362.301157072	1.8	212000	1.22111e-08
1014.29392954	33232.1998669	23.8936272569	362.301157072	1.8	212000	1.533e-08
1014.29392954	33232.1998669	10.2632874981	363.72579369	1.8	212000	1.22073e-08
1014.29392954	33232.1998669	10.2632874981	362.301157072	1.96169002824	212000	1.22073e-08
1014.29392954	33232.1998669	10.2632874981	362.301157072	1.8	300649.106596	1.22073e-08
1015.1131087	29752.284028	10.2948671976	362.301157072	1.8	212000	1.22089e-08
1015.80248816	28672.7457674	10.0922384666	362.301157072	1.8	212000	1.21713e-08
1009.2732254	28672.7457674	10.0922384666	362.301157072	1.8	212000	1.21748e-08
1015.80248816	31357.6849349	10.0922384666	362.301157072	1.8	212000	1.21762e-08
1015.80248816	28672.7457674	22.8830919474	362.301157072	1.8	212000	1.51491e-08
1015.80248816	28672.7457674	10.0922384666	363.72579369	1.8	212000	1.21713e-08
1015.80248816	28672.7457674	10.0922384666	362.301157072	1.96169002824	212000	1.21713e-08
1015.80248816	28672.7457674	10.0922384666	362.301157072	1.8	300649.106596	1.21713e-08
1017.72255046	25566.7173192	10.0568633705	362.301157072	1.8	212000	1.21882e-08
1013.58477989	25898.6062527	10.049690543	362.301157072	1.8	212000	1.21691e-08
1008.22002	25898.6062527	10.049690543	362.301157072	1.8	212000	1.21648e-08
1013.58477989	28600.3213059	10.049690543	362.301157072	1.8	212000	1.21703e-08
1013.58477989	25898.6062527	20.5003709834	362.301157072	1.8	212000	1.46654e-08
1013.58477989	25898.6062527	10.049690543	363.72579369	1.8	212000	1.21691e-08
1013.58477989	25898.6062527	10.049690543	362.301157072	1.96169002824	212000	1.21691e-08
1013.58477989	25898.6062527	10.049690543	362.301157072	1.8	300649.106596	1.21691e-08
1012.27751142	27740.3059822	10.9346548228	362.301157072	1.8	212000	1.23261e-08
1017.9368154	25966.9306553	10.2694352548	362.301157072	1.8	212000	1.22333e-08
1012.68154504	25888.7326694	10.0876728984	362.301157072	1.8	212000	1.21763e-08
1017.96447642	25893.3986105	10.0623680497	362.301157072	1.8	212000	1.21765e-08
1014.03296232	25897.4012335	10.0521608121	362.301157072	1.8	212000	1.21704e-08
1016.55432704	25898.3101931	10.050278572	362.301157072	1.8	212000	1.21728e-08
1013.91773541	25898.5764136	10.0497492839	362.301157072	1.8	212000	1.21698e-08
1013.61822082	25898.6032665	10.0496964165	362.301157072	1.8	212000	1.21703e-08
1013.58812521	25898.6059541	10.0496911304	362.301157072	1.8	212000	1.21691e-08
1008.22069626	25898.6059541	10.0496911304	362.301157072	1.8	212000	1.21648e-08
1013.58812521	28600.3209189	10.0496911304	362.301157072	1.8	212000	1.21711e-08
1013.58812521	25898.6059541	20.5003653083	362.301157072	1.8	212000	1.46653e-08
1013.58812521	25898.6059541	10.0496911304	363.72579369	1.8	212000	1.21691e-08
1013.58812521	25898.6059541	10.0496911304	362.301157072	1.96169002824	212000	1.21691e-08
1013.58812521	25898.6059541	10.0496911304	362.301157072	1.8	300649.106596	1.21691e-08
1013.59482259	25898.6041049	10.0496923051	362.301157072	1.8	212000	1.21691e-08
1013.588795	25898.6057692	10.0496912479	362.301157072	1.8	212000	1.21691e-08
